epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
<<<<<<< HEAD
1,4.29157,2.48844,4.05796,1.28622,0.32399,0.3142,0.21023,0.07977,2.06625,2.64265,1.13277,0.067042,6.66464e-05,6.66464e-05
2,7.8968,2.03989,1.92424,1.10508,0.69354,0.63638,0.67134,0.27885,1.82534,1.43802,1.04252,0.0337732,0.000131264,0.000131264
3,11.4333,1.91785,1.2827,1.04961,0.82076,0.76866,0.8325,0.38255,1.66843,1.07549,0.99369,0.00050186,0.000193218,0.000193218
4,15.0037,1.7756,1.07014,1.01034,0.87757,0.79914,0.86329,0.42071,1.58372,0.92694,0.96218,0.000189821,0.000189821,0.000189821
5,18.488,1.71369,0.95912,0.98533,0.9118,0.83061,0.8956,0.45196,1.5655,0.83607,0.95136,0.000185825,0.000185825,0.000185825
6,21.9937,1.6964,0.89244,0.96999,0.92921,0.84935,0.91468,0.48781,1.54507,0.76521,0.94623,0.000181829,0.000181829,0.000181829
7,25.559,1.71061,0.87796,0.97267,0.9104,0.86083,0.91626,0.46549,1.53867,0.75785,0.94135,0.000177833,0.000177833,0.000177833
8,29.2476,1.64415,0.85099,0.9648,0.92146,0.87374,0.92543,0.48988,1.51081,0.70961,0.934,0.000173837,0.000173837,0.000173837
9,33.0751,1.6683,0.82425,0.96545,0.90405,0.87869,0.92511,0.49059,1.50795,0.70071,0.93046,0.000169842,0.000169842,0.000169842
10,37.1223,1.64371,0.83174,0.96236,0.91963,0.87518,0.92527,0.49111,1.50235,0.68822,0.9298,0.000165846,0.000165846,0.000165846
11,41.4158,1.58947,0.79052,0.95158,0.91762,0.87899,0.93316,0.50353,1.48227,0.67389,0.92532,0.00016185,0.00016185,0.00016185
12,45.2801,1.59681,0.78075,0.95196,0.91579,0.88932,0.93572,0.49934,1.48818,0.67351,0.92624,0.000157854,0.000157854,0.000157854
13,49.1971,1.60099,0.78861,0.94942,0.92898,0.86801,0.93906,0.51546,1.46977,0.66075,0.92236,0.000153858,0.000153858,0.000153858
14,53.1718,1.611,0.79241,0.95533,0.92403,0.87247,0.93368,0.50414,1.4862,0.67626,0.92404,0.000149863,0.000149863,0.000149863
15,57.1127,1.57687,0.76663,0.93597,0.92193,0.88092,0.94196,0.51885,1.46238,0.65004,0.92137,0.000145867,0.000145867,0.000145867
16,61.0619,1.55439,0.75386,0.93897,0.90438,0.88666,0.94072,0.50734,1.47988,0.66022,0.92413,0.000141871,0.000141871,0.000141871
=======
1,38.958,1.94044,2.23277,1.75126,0.4905,0.37419,0.28786,0.05888,2.83669,4.67289,2.55066,0.000661333,0.000661333,0.000661333
2,75.9408,1.72261,1.3129,1.60509,0.39748,0.44839,0.23739,0.05089,2.56644,10.3621,2.28157,0.00067064,0.00067064,0.00067064
>>>>>>> ec4a71d (created a yolo model, and its already training)
