epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.2835,0,97.4075,0,0,0,0,0,nan,nan,nan,0.000661333,0.000661333,0.000661333
2,73.246,0,0.06625,0,0,0,0,0,3.65233,6.02061,2.70707,0.00130171,0.00130171,0.00130171
3,108.589,0,0,0,0,0,0,0,3.36453,4.70518,2.44395,0.00191568,0.00191568,0.00191568
4,143.736,0,2e-05,0,0,0,0,0,1.65825,2.43743,1.21182,0.0018812,0.0018812,0.0018812
5,180.107,0,0.0001,0,0,0,0,0,2.08034,3.04255,1.2114,0.0018416,0.0018416,0.0018416
6,214.251,0,0,0,0,0,0,0,0,0,0,0.001802,0.001802,0.001802
7,248.4,0,0,0,0,0,0,0,0,0,0,0.0017624,0.0017624,0.0017624
8,283.887,0,0,0,0,0,0,0,0,0,0,0.0017228,0.0017228,0.0017228
9,318.813,0,0,0,0,0,0,0,0,0,0,0.0016832,0.0016832,0.0016832
10,353.66,0,0,0,0,0,0,0,0,0,0,0.0016436,0.0016436,0.0016436
11,388.615,0,0,0,0,0,0,0,0,0,0,0.001604,0.001604,0.001604
12,423.521,0,0,0,0,0,0,0,3.28633,4.51086,1.73307,0.0015644,0.0015644,0.0015644
13,458.478,0,0,0,0,0,0,0,0,0,0,0.0015248,0.0015248,0.0015248
14,493.278,0,0,0,0,0,0,0,0,0,0,0.0014852,0.0014852,0.0014852
15,528.127,0,0,0,0,0,0,0,0,0,0,0.0014456,0.0014456,0.0014456
16,563.091,0,0,0,0,0,0,0,0,0,0,0.001406,0.001406,0.001406
17,598.572,0,0,0,0,0,0,0,0,0,0,0.0013664,0.0013664,0.0013664
18,632.687,0,0,0,0,0,0,0,0,0,0,0.0013268,0.0013268,0.0013268
19,667.515,0,0,0,0,0,0,0,0,0,0,0.0012872,0.0012872,0.0012872
20,701.58,0,0,0,0,0,0,0,0,0,0,0.0012476,0.0012476,0.0012476
21,735.534,0,0,0,0,0,0,0,0,0,0,0.001208,0.001208,0.001208
22,769.271,0,0,0,0,0,0,0,0,0,0,0.0011684,0.0011684,0.0011684
23,804.104,0,0,0,0,0,0,0,0,0,0,0.0011288,0.0011288,0.0011288
24,838.65,0,0,0,0,0,0,0,0,0,0,0.0010892,0.0010892,0.0010892
25,874.158,0,0,0,0,0,0,0,0,0,0,0.0010496,0.0010496,0.0010496
26,909.255,0,0,0,0,0,0,0,0,0,0,0.00101,0.00101,0.00101
27,943.433,0,0,0,0,0,0,0,0,0,0,0.0009704,0.0009704,0.0009704
28,977.491,0,0,0,0,0,0,0,0,0,0,0.0009308,0.0009308,0.0009308
29,1011.57,0,0,0,0,0,0,0,0,0,0,0.0008912,0.0008912,0.0008912
30,1045.74,0,0,0,0,0,0,0,0,0,0,0.0008516,0.0008516,0.0008516
31,1079.8,0,0,0,0,0,0,0,0,0,0,0.000812,0.000812,0.000812
32,1114.73,0,0,0,0,0,0,0,0,0,0,0.0007724,0.0007724,0.0007724
33,1149.86,0,0,0,0,0,0,0,0,0,0,0.0007328,0.0007328,0.0007328
34,1184.82,0,0,0,0,0,0,0,0,0,0,0.0006932,0.0006932,0.0006932
35,1219.72,0,0,0,0,0,0,0,0,0,0,0.0006536,0.0006536,0.0006536
36,1255.43,0,0,0,0,0,0,0,0,0,0,0.000614,0.000614,0.000614
37,1292.33,0,0,0,0,0,0,0,0,0,0,0.0005744,0.0005744,0.0005744
38,1329.81,0,0,0,0,0,0,0,0,0,0,0.0005348,0.0005348,0.0005348
39,1366.12,0,0,0,0,0,0,0,0,0,0,0.0004952,0.0004952,0.0004952
40,1402.67,0,0,0,0,0,0,0,0,0,0,0.0004556,0.0004556,0.0004556
41,1438.83,0,0,0,0,0,0,0,0,0,0,0.000416,0.000416,0.000416
42,1472.21,0,0,0,0,0,0,0,0,0,0,0.0003764,0.0003764,0.0003764
43,1507.32,0,0,0,0,0,0,0,0,0,0,0.0003368,0.0003368,0.0003368
44,1542.27,0,0,0,0,0,0,0,0,0,0,0.0002972,0.0002972,0.0002972
45,1578.83,0,0,0,0,0,0,0,0,0,0,0.0002576,0.0002576,0.0002576
46,1614.09,0,0,0,0,0,0,0,0,0,0,0.000218,0.000218,0.000218
47,1649.78,0,0,0,0,0,0,0,0,0,0,0.0001784,0.0001784,0.0001784
48,1685.77,0,2e-05,0,0,0,0,0,0.09668,0.13139,0.052,0.0001388,0.0001388,0.0001388
49,1721.32,0,0,0,0,0,0,0,0,0,0,9.92e-05,9.92e-05,9.92e-05
50,1756.93,0,0,0,0,0,0,0,0,0,0,5.96e-05,5.96e-05,5.96e-05
